"JURISDICTION","YEAR","Total_Licence_Holders"
"NSW",2020,5648327
"NSW",2021,5775889
"NSW",2022,5960216
"NSW",2023,6040358
"NSW",2024,6166226
"Victoria",2020,4807706
"Victoria",2021,4895143
"Victoria",2022,4968836
"Victoria",2023,5097911
"Victoria",2024,5260408
"Queensland",2020,3806397
"Queensland",2021,3888986
"Queensland",2022,3973138
"Queensland",2023,4051724
"Queensland",2024,4154952
"South Australia",2020,1271958
"South Australia",2021,1294479
"South Australia",2022,1329139
"South Australia",2023,1340060
"South Australia",2024,1362548
"Western Australia",2020,2013336
"Western Australia",2021,2036282
"Western Australia",2022,2078263
"Western Australia",2023,2132257
"Western Australia",2024,2194816
"Tasmania",2020,406437
"Tasmania",2021,416263
"Tasmania",2022,423676
"Tasmania",2023,426528
"Tasmania",2024,429865
"Northern Territory",2020,157831
"Northern Territory",2021,159208
"Northern Territory",2022,159063
"Northern Territory",2023,161361
"Northern Territory",2024,163416
"Australian Capital Territory",2020,326495
"Australian Capital Territory",2021,326454
"Australian Capital Territory",2022,334900
"Australian Capital Territory",2023,341420
"Australian Capital Territory",2024,347892
"Australia",2020,18438487
"Australia",2021,18792704
"Australia",2022,19227231
"Australia",2023,19591619
"Australia",2024,20080123
